"","x"
"1531","S"
"1532","G2/M"
"1533","G1/G0"
"1534","S"
"1535","G1/G0"
"1536","M"
"1537","G1/G0"
"1538","S"
"1539","G2/M"
"1540","S"
"1541","S"
"1542","G2/M"
"1543","S"
"1544","G1/G0"
"1545","G2/M"
"1546","G1/G0"
"1547","G2/M"
"1548","S"
"1549","G1/G0"
"1550","G1/G0"
"1551","G1/G0"
"1552","S"
"1553","M"
"1554","S"
"1555","G2/M"
"1556","G2/M"
"1557","G1/G0"
"1558","G1/G0"
"1559","G1/G0"
"1560","S"
"1561","S"
"1562","G1/G0"
"1563","G1/G0"
"1564","S"
"1565","G2/M"
"1566","G2/M"
"1567","S"
"1568","S"
"1569","G1/G0"
"1570","G1/G0"
"1571","G1/G0"
"1572","S"
"1573","G1/G0"
"1574","G1/G0"
"1575","G1/G0"
"1576","G2/M"
"1577","G1/G0"
"1578","S"
"1579","G1/G0"
"1580","G2/M"
"1581","S"
"1582","G2/M"
"1583","G2/M"
"1584","S"
"1585","M"
"1586","S"
"1587","S"
"1588","G1/G0"
"1589","G2/M"
"1590","M"
"1591","S"
"1592","G2/M"
"1593","G1/G0"
"1594","G1/G0"
"1595","G1/G0"
"1596","S"
"1597","G1/G0"
"1598","G2/M"
"1599","S"
"1600","S"
"1601","G1/G0"
"1602","G1/G0"
"1603","S"
"1604","G1/G0"
"1605","G1/G0"
"1606","G2/M"
"1607","G1/G0"
"1608","S"
"1609","G2/M"
"1610","G2/M"
"1611","G2/M"
"1612","S"
"1613","G1/G0"
"1614","M"
